text,tags,author
“All you need is love. But a little chocolate now and then doesn't hurt.”,"chocolate,food,humor",Charles M. Schulz
“We read to know we're not alone.”,"misattributed-to-c-s-lewis,reading",William Nicholson
“Any fool can know. The point is to understand.”,"knowledge,learning,understanding,wisdom",Albert Einstein
“I have always imagined that Paradise will be a kind of library.”,"books,library",Jorge Luis Borges
“It is never too late to be what you might have been.”,inspirational,George Eliot
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”","read,readers,reading,reading-books",George R.R. Martin
“You can never get a cup of tea large enough or a book long enough to suit me.”,"books,inspirational,reading,tea",C.S. Lewis
“You believe lies so you eventually learn to trust no one but yourself.”,,Marilyn Monroe
"“If you can make a woman laugh, you can make her do anything.”","girls,love",Marilyn Monroe
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”","life,simile",Albert Einstein
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,love,Marilyn Monroe
"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",attributed-no-source,Marilyn Monroe
“Only in the darkness can you see the stars.”,"hope,inspirational",Martin Luther King Jr.
"“It matters not what someone is born, but what they grow to be.”",dumbledore,J.K. Rowling
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",love,James Baldwin
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","friendship,love",Jane Austen
“Do one thing every day that scares you.”,"attributed,fear,inspiration",Eleanor Roosevelt
"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",attributed-no-source,Marilyn Monroe
"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",music,Albert Einstein
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”","books,thought",Haruki Murakami
“The difference between genius and stupidity is: genius has its limits.”,misattributed-to-einstein,Alexandre Dumas fils
"“He's like a drug for you, Bella.”","drug,romance,simile",Stephenie Meyer
“There is no friend as loyal as a book.”,"books,friends,novelist-quotes",Ernest Hemingway
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",inspirational,Helen Keller
“Life isn't about finding yourself. Life is about creating yourself.”,"inspirational,life,yourself",George Bernard Shaw
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",alcohol,Charles Bukowski
“You don’t forget the face of the person who was your last hope.”,the-hunger-games,Suzanne Collins
"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",humor,Suzanne Collins
"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",love,C.S. Lewis
“Not all those who wander are lost.”,"bilbo,journey,lost,quest,travel,wander",J.R.R. Tolkien
"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",live-death-love,J.K. Rowling
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,"good,writing",Ernest Hemingway
“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,"life,regrets",Ralph Waldo Emerson
“I have never let my schooling interfere with my education.”,education,Mark Twain
“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,troubles,Dr. Seuss
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,"friendship,love",Alfred Tennyson
“Some people never go crazy. What truly horrible lives they must lead.”,humor,Charles Bukowski
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","humor,open-mind,thinking",Terry Pratchett
"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”","humor,philosophy",Dr. Seuss
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","authors,books,literature,reading,writing",J.D. Salinger
“The reason I talk to myself is because I’m the only one whose answers I accept.”,"humor,insanity,lies,lying,self-indulgence,truth",George Carlin
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”","beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace",John Lennon
“I am free of all prejudice. I hate everyone equally. ”,"humor,sinister",W.C. Fields
“The question isn't who is going to let me; it's who is going to stop me.”,,Ayn Rand
“′Classic′ - a book which people praise and don't read.”,"books,classic,reading",Mark Twain
“Anyone who has never made a mistake has never tried anything new.”,mistakes,Albert Einstein
"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”","humor,love,romantic,women",Jane Austen
"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",integrity,J.K. Rowling
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”","books,library,reading",Jane Austen
"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”","elizabeth-bennet,jane-austen",Jane Austen
“Some day you will be old enough to start reading fairy tales again.”,"age,fairytales,growing-up",C.S. Lewis
“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,god,C.S. Lewis
“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,"death,life",Mark Twain
“A lie can travel half way around the world while the truth is putting on its shoes.”,"misattributed-mark-twain,truth",Mark Twain
"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity,faith,religion,sun",C.S. Lewis
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",truth,J.K. Rowling
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”","death,life",Jimi Hendrix
“To die will be an awfully big adventure.”,"adventure,love",J.M. Barrie
“It takes courage to grow up and become who you really are.”,courage,E.E. Cummings
“But better to get hurt by the truth than comforted with a lie.”,life,Khaled Hosseini
“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,better-life-empathy,Harper Lee
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”","books,children,difficult,grown-ups,write,writers,writing",Madeleine L'Engle
“Never tell the truth to people who are not worthy of it.”,truth,Mark Twain
"“A person's a person, no matter how small.”",inspirational,Dr. Seuss
"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","books,mind",George R.R. Martin
